District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Wong Tai Sin,Lok Fu Plaza (non-residential),26/7/2020,"1695, 1774, 2191, 2655, 2786, 2792",6
North,Luen Wo Hui Municipal Services Building (non-residential),26/7/2020,"1568, 2167, 2357, 2770",4
Sha Tin,Mei Lam Commercial Centre (non-residential),26/7/2020,"2816, 3033, 3066",3
Sha Tin,Mei Lam Shopping Centre (non-residential),26/7/2020,"2816, 3033",2
Kwun Tong,Metro Centre II (non-residential),26/7/2020,2725,1
Yau Tsim Mong,Metropark Hotel Mongkok (non-residential),26/7/2020,2728,1
Eastern,Metropole Building (non-residential),26/7/2020,2658,1
Sham Shui Po,Mount Sterling Mall McDonald's (non-residential),26/7/2020,2771,1
Sham Shui Po,Mount Sterling Mall Ngan Lung Restaurant (non-residential),26/7/2020,2771,1
Sha Tin,New Town Plaza Phase III Isaac Toast (non-residential),26/7/2020,2696,1
Wong Tai Sin,Ngau Chi Wan Municipal Services Building (non-residential),26/7/2020,"1371, 1388, 1389, 1394, 1467, 1468, 1523, 1597, 1671, 1710, 1767, 1834, 1854, 2094, 3183",15
Eastern,North Point Market (non-residential),26/7/2020,3167,1
Yau Tsim Mong,Ocean Terminal (non-residential),26/7/2020,3233,1
Tsuen Wan,OP Mall (non-residential),26/7/2020,"2529, 2690",2
Tsuen Wan,OP Mall Ruby Tuesday (non-residential),26/7/2020,2690,1
Eastern,Paradise Mall (non-residential),26/7/2020,2927,1
Central & Western,Peak Galleria McDonald's (non-residential),26/7/2020,2664,1
Sham Shui Po,Po On Road Municipal Services Building (non-residential),26/7/2020,"2234, 2410, 2728",3
Tuen Mun,Sam Shing Cooked Food Stalls Nam Kee Restaurant (non-residential),26/7/2020,2759,1
Southern,Shek Pai Wan Shopping Centre (non-residential),26/7/2020,2687,1
Kwun Tong,Shun Tin Estate Cooked Food Stall 天發粥麵小廚 (non-residential),26/7/2020,2737,1
Kwun Tong,Sing Win Factory Building Paths Koffee & Rest Stop (non-residential),26/7/2020,3490,1
Eastern,Siu Bo Mansion (non-residential),26/7/2020,2743,1
Sham Shui Po,So Uk Shopping Centre (non-residential),26/7/2020,"1817, 2922",2
Yau Tsim Mong,Star House (non-residential),26/7/2020,3233,1
Tai Po,Tai Po Mega Mall (non-residential),26/7/2020,3882,1
Sha Tin,Tai Wai Market (non-residential),26/7/2020,"2583, 2693, 2816, 3033",4
Wong Tai Sin,Temple Mall South Fairwood (non-residential),26/7/2020,2844,1
Wong Tai Sin,The Standard Chartered Bank Building San Po Kong 容記小菜王 (non-residential),26/7/2020,2832,1
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),26/7/2020,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 3183, 3669",11
Kowloon City,Tower 2 Harbour Centre (non-residential),26/7/2020,2664,1
Central & Western,Treasure Court (non-residential),26/7/2020,2767,1
Kwun Tong,Tsui Ping (North) Shopping Circuit (non-residential),26/7/2020,"2807, 2833",2
Tuen Mun,Tuen Mun Hong Lai Garden Shopping Centre (non-residential),26/7/2020,2649,1
Tai Po,Uptown Plaza McDonald's (non-residential),26/7/2020,"2180, 2696",2
Tai Po,Uptown Plaza Men Wah Bing Teng (non-residential),26/7/2020,2696,1
Sha Tin,Wing Sam House Lung Hang Estate (non-residential),26/7/2020,"2052, 2224, 2795, 2882",4
Kwun Tong,Yau Lai Shopping Centre (non-residential),26/7/2020,2829,1
Kwun Tong,Yau Lai Shopping Centre Café de Coral (non-residential),26/7/2020,2829,1
Kowloon City,Yuen Shing Building (non-residential),26/7/2020,2720,1
Central & Western,14 Aberdeen Street (non-residential),27/7/2020,3490,1
Wan Chai,151 Lockhart Road (non-residential),27/7/2020,2857,1
Kowloon City,17 Lion Rock Road (non-residential),27/7/2020,"3193, 3194",2
Sha Tin,255 Tin Sam Tsuen (non-residential),27/7/2020,3224,1
Wan Chai,294 Lockhart Road (non-residential),27/7/2020,2858,1
Southern,4 Sai On Street (non-residential),27/7/2020,"2754, 2987",2
Sham Shui Po,"52 & 54 Broadway, Stage III, Mei Foo Sun Chuen (non-residential)",27/7/2020,3269,1
Kowloon City,63 Ma Tau Kok Road (non-residential),27/7/2020,2783,1
Wan Chai,71 Wan Chai Road (non-residential),27/7/2020,2858,1
Kwai Tsing,72 Tam Kon Shan Road (non-residential),27/7/2020,3076,1
Sha Tin,94 Tai Wai Road (non-residential),27/7/2020,3537,1
Kowloon City,Block 17 Whampoa Garden Phase 2 (non-residential),27/7/2020,3025,1
Wan Chai,Bowrington Road Market (non-residential),27/7/2020,"2387, 2857, 3027",3
Kwai Tsing,Cheung Fat Plaza (non-residential),27/7/2020,3371,1
Sai Kung,East Point City (non-residential),27/7/2020,"1751, 2099, 2140, 2330, 3327, 3328",6
Yau Tsim Mong,Edward Mansion (non-residential),27/7/2020,"1771, 2380, 3171",3
Wan Chai,Everwin Mansion (non-residential),27/7/2020,2858,1
Wong Tai Sin,Fung Tak Shopping Centre (non-residential),27/7/2020,"1956, 1689, 1963, 1773, 1868, 2891, 3184, 3921",8
Wong Tai Sin,Fung Tak Shopping Centre Café de Coral (non-residential),27/7/2020,2778,1
Wong Tai Sin,Fung Tak Shopping Centre Green River Restaurant (non-residential),27/7/2020,2778,1
Wong Tai Sin,Galaxy Factory Building (non-residential),27/7/2020,3346,1
Central & Western,Garley Building La Vache! (non-residential),27/7/2020,3490,1
Southern,Gleneagles Hong Kong Hospital (non-residential),27/7/2020,2980,1
Wong Tai Sin,Grand View Garden Commercial And Car Park Block (non-residential),27/7/2020,3184,1
Kowloon City,Grand Waterfront Plaza (non-residential),27/7/2020,2333,1
Eastern,Greenwood Terrace Commercial Area (non-residential),27/7/2020,2927,1
Yau Tsim Mong,Hanford Plaza (non-residential),27/7/2020,3216,1
Yau Tsim Mong,Harbour City (non-residential),27/7/2020,"2538, 2790",2
Sai Kung,Hau Tak Shopping Centre (non-residential),27/7/2020,"3327, 3328",2
Sham Shui Po,Ho Fat Building (non-residential),27/7/2020,3269,1
Yau Tsim Mong,Hoi Fu Shopping Centre Cafe De Itamomo (non-residential),27/7/2020,2858,1
Kowloon City,Hong Kong Baptist Hospital (non-residential),27/7/2020,"1314, 1364, 1557, 1644, 1779, 2008, 2960",7
Yau Tsim Mong,Hung Hay Building Sun Kee Chicken Congee (non-residential),27/7/2020,2973,1
Wan Chai,Immigration Tower (non-residential),27/7/2020,"1542, 1584, 1765, 2104, 2134, 2448, 2696, 3026",8
Wong Tai Sin,Kam Kwok Building Eat Chinese Restaurant (non-residential),27/7/2020,2845,1
Tuen Mun,Kin Sang Estate Commercial Centre (non-residential),27/7/2020,2819,1
Tsuen Wan,"Kin Shue House, Lei Muk Shue Estate (non-residential)",27/7/2020,"2919, 2979",2
Kwai Tsing,Kwai Fong Plaza Hakka Cuisine (non-residential),27/7/2020,"2602, 2883",2
Kwai Tsing,Kwai Fook Building 金星餐廳 (non-residential),27/7/2020,2883,1
Kwai Tsing,Kwai Hing Shopping Centre (non-residential),27/7/2020,2856,1
Kwai Tsing,Kwai Shing East Shopping Centre (non-residential),27/7/2020,"2023, 2514, 2877",3
Tai Po,Kwong Fuk Shopping Centre (non-residential),27/7/2020,2870,1
Kwun Tong,Kwun Tong Plaza Fulum Fisherman's Wharf (non-residential),27/7/2020,"2784, 2833",2
Eastern,Lok Hin Terrace (non-residential),27/7/2020,3074,1
Central & Western,Long Mansion (non-residential),27/7/2020,3281,1
Central & Western,Loon Kee Building Sky Cuisine (non-residential),27/7/2020,3588,1
Sai Kung,Man Sau Building Chuen Kee Seafood Restaurant (non-residential),27/7/2020,2845,1
Kwai Tsing,Maritime Square 1 (non-residential),27/7/2020,"1751, 1902, 3130, 3353",4
Kwai Tsing,Metroplaza euro go go (non-residential),27/7/2020,3484,1
North,MTR Fanling Station Maxim's Cake Shop (non-residential),27/7/2020,2843,1
Sai Kung,Nan Fung Plaza (non-residential),27/7/2020,3328,1
Tuen Mun,New Town Commercial Arcade (non-residential),27/7/2020,3285,1
Tuen Mun,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai (non-residential)",27/7/2020,"2254, 2543, 2586, 2938, 2975",5
Kowloon City,Oi Man Market (non-residential),27/7/2020,3082,1
Kowloon City,Oi Man Market (non-residential),27/7/2020,"2900, 3082",2
Yau Tsim Mong,Olympian City 2 (non-residential),27/7/2020,"2016, 2783",2
Central & Western,On Lan Street Ryota Kappou Modern (non-residential),27/7/2020,2651,1
Kwai Tsing,"On Tao House, Cheung On Estate (non-residential)",27/7/2020,3371,1
Yuen Long,One Sky Mall (non-residential),27/7/2020,"2751, 2752, 3220",3
Sai Kung,Park Central Chiuchow Garden (non-residential),27/7/2020,2791,1
Sai Kung,Park Central Shopping Centre (non-residential),27/7/2020,"1375, 1437, 1465, 1592, 2370, 2627, 3296",7
Wong Tai Sin,Pentahotel Hong Kong Kowloon (non-residential),27/7/2020,2882,1
Kowloon City,Po Fai Building On The Hill Coffee Bar (non-residential),27/7/2020,3039,1
Tuen Mun,Po Tin Shopping Centre (non-residential),27/7/2020,2819,1
Central & Western,Public Bank Centre (non-residential),27/7/2020,3490,1
Kwun Tong,Rays Industrial Building (non-residential),27/7/2020,2856,1
Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚 (non-residential),27/7/2020,"2769, 3265",2
Kwun Tong,Richland Gardens Commercial Building (non-residential),27/7/2020,3385,1
Eastern,Sai Wan Ho Municipal Services Building (non-residential),27/7/2020,"2200, 2788, 3049",3
North,Sheung Shui Slaughterhouse (non-residential),27/7/2020,"2671, 2770, 2806, 2849, 2952, 3069, 3149",7
Wan Chai,Shui On Centre Café De Coral (non-residential),27/7/2020,3026,1
North,Shun Ming House Wah Ming Estate (non-residential),27/7/2020,2991,1
Yau Tsim Mong,Silvercord Food Republic (non-residential),27/7/2020,2790,1
Yau Tsim Mong,Sino Centre (non-residential),27/7/2020,"2398, 3371",2
Sham Shui Po,Smiling Plaza (non-residential),27/7/2020,3038,1
Wan Chai,Spring Garden Mansion (non-residential),27/7/2020,"2559, 2858",2
Wan Chai,Tai Yau Plaza (non-residential),27/7/2020,2858,1
Sai Kung,The Lane (non-residential),27/7/2020,"3327, 3328",2
Sham Shui Po,Tins Enterprises Centre (non-residential),27/7/2020,3456,1
Yuen Long,Tse King House Stage 2 (non-residential),27/7/2020,3457,1
Kwai Tsing,Tsing Yi Estate Commercial Centre (non-residential),27/7/2020,3247,1
Tai Po,Tsz Shan Monastery (non-residential),27/7/2020,2635,1
Eastern,Tung Tai House (non-residential),27/7/2020,3372,1
Tai Po,Wan Tau Tong Shopping Centre (non-residential),27/7/2020,2870,1
Yau Tsim Mong,West Kowloon Government Offices South Tower (non-residential),27/7/2020,2858,1
Kwun Tong,Yan On Mansion (non-residential),27/7/2020,3176,1
Islands,Yat Tung Shopping Centre (non-residential),27/7/2020,2932,1
Kowloon City,Yee On Court (non-residential),27/7/2020,"2289, 2476, 2546, 2722, 3102, 3154, 3165, 3205, 3224, 3321, 3326, 3350, 3368, 3369",14
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),27/7/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244",8
Yuen Long,Yuen Long Commercial Centre (non-residential),27/7/2020,3167,1
Kowloon City,127A Ma Tau Wai Road Jumbo (non-residential),28/7/2020,2896,1
Sham Shui Po,253-263 Shun Ning Road (non-residential),28/7/2020,2925,1
Yau Tsim Mong,33-35 Fa Yuen Street (non-residential),28/7/2020,3509,1
Sham Shui Po,388 Un Chau Street (non-residential),28/7/2020,2925,1
Islands,39 Yung Shue Wan Main Street Mr. Ma & Restaurant (non-residential),28/7/2020,2947,1
Sham Shui Po,"56, 58, 60 & 62 Broadway, Stage III, Mei Foo Sun Chuen (non-residential)",28/7/2020,3269,1
Kwun Tong,75 Ting Fu Street (non-residential),28/7/2020,3509,1
Sham Shui Po,Ancillary Facilities Block Shek Kip Mei Estate (non-residential),28/7/2020,2923,1
Southern,Ap Lei Chau Municipal Services Building (non-residential),28/7/2020,3343,1
Islands,Asia Airfreight Terminal (non-residential),28/7/2020,3042,1
Eastern,Block B Walton Estate (non-residential),28/7/2020,3074,1
Eastern,"Block B, Walton Estate (non-residential)",28/7/2020,3074,1
Sha Tin,Car Park in Chun Yueng Estate (non-residential),28/7/2020,2963,1
Kwai Tsing,Cheung Hong Estate Commercial Complex No.1 Hei Yuet Palace (non-residential),28/7/2020,"3247, 3955",2
Kowloon City,Ching Long Shopping Centre (non-residential),28/7/2020,"1695, 2109, 2164, 2448, 3385",5
Yuen Long,Ching Wan House Tin Ching Estate (non-residential),28/7/2020,3800,1
Wong Tai Sin,Chuk Yuen Market (non-residential),28/7/2020,"1750, 2803, 3183",3
Wong Tai Sin,Chuk Yuen Plaza (non-residential),28/7/2020,"1547, 1750, 1939, 2104, 2803, 3183",6
Yau Tsim Mong,Concord Building 泰妃雞 (non-residential),28/7/2020,2973,1
Sai Kung,Crowne Plaza Hong Kong Kowloon (non-residential),28/7/2020,"2536, 3390",2
Kwai Tsing,Dorsett Tsuen Wan (non-residential),28/7/2020,"1464, 1938, 2519, 2614, 2931",5
North,Flora Plaza 九龍冰廳 (non-residential),28/7/2020,2991,1
Yuen Long,Fortune Centre (non-residential),28/7/2020,3801,1
Tuen Mun,Fu Tai Shopping Centre (non-residential),28/7/2020,"1731, 2649, 2966, 3287",4
Tuen Mun,Fu Tai Shopping Centre Green River Restaurant (non-residential),28/7/2020,"2965, 2966",2
Yau Tsim Mong,Gateway Hotel Three on Canton (non-residential),28/7/2020,2926,1
Sham Shui Po,Greenrich Mansion (non-residential),28/7/2020,2925,1
Yau Tsim Mong,Hang Shing Building (non-residential),28/7/2020,3072,1
Tsuen Wan,Hong Kong Adventist Hospital – Tsuen Wan (non-residential),28/7/2020,"2967, 3558, 3953",3
Southern,Hong Kong Reese Hotel (non-residential),28/7/2020,"2485, 2987",2
Kowloon City,International Funeral Parlour (non-residential),28/7/2020,3573,1
Kowloon City,Jubilant Place Fulum Palace (To Kwa Wan) (non-residential),28/7/2020,2896,1
Yau Tsim Mong,K11 MUSEA (non-residential),28/7/2020,"3369, 3441",2
Wong Tai Sin,Kam Hon House Choi Hung Estate (non-residential),28/7/2020,3438,1
Kwai Tsing,Kam Shek Building Sun Heung Tea Restaurant (non-residential),28/7/2020,3253,1
Yuen Long,Kam Tin Theatre Building (non-residential),28/7/2020,2895,1
Yuen Long,Kingswood Richly Plaza (non-residential),28/7/2020,2956,1
Eastern,Kornhill Plaza (non-residential),28/7/2020,"3070, 3049",2
Kwun Tong,Kowloon Bay International Trade & Exhibition Centre (non-residential),28/7/2020,3426,1
Kowloon City,Kowloon City Law Courts Building (non-residential),28/7/2020,3310,1
Kowloon City,Kowloon City Plaza (non-residential),28/7/2020,2918,1
Kwun Tong,Laguna Plaza Fairwood (non-residential),28/7/2020,3051,1
Kwun Tong,Laguna Plaza Super Super Congee & Noodle (non-residential),28/7/2020,3051,1
North,Luen Wo Hui Market and Cooked Food Centre (non-residential),28/7/2020,2991,1
North,Luen Wo Hui Municipal Services Building (non-residential),28/7/2020,"1568, 2167, 2357, 2770, 2991",5
Tai Po,Mayfair Lane Crostini Bakery & Café (non-residential),28/7/2020,2926,1
Sham Shui Po,Mei Foo Sun Chuen Maxim's MX (non-residential),28/7/2020,2869,1
Yau Tsim Mong,Mongkok Metro Red Tea (non-residential),28/7/2020,3176,1
Kwai Tsing,MTR Kwai Fong Station (non-residential),28/7/2020,3484,1
Kwun Tong,On Tat Shopping Centre (non-residential),28/7/2020,"2283, 2996",2
Kowloon City,One Victory Peko Peko Eatery (non-residential),28/7/2020,2996,1
Tsuen Wan,Panda Hotel Casserole Buddies (non-residential),28/7/2020,2918,1
Tsuen Wan,Panda Place Lemon Basil (non-residential),28/7/2020,2918,1
Yau Tsim Mong,Park Hovan Commercial Building (non-residential),28/7/2020,2925,1
Tai Po,Plover Cove Road Market (non-residential),28/7/2020,2991,1
Kwun Tong,Po Tat Shopping Centre Dai Siu Roast Café (non-residential),28/7/2020,2947,1
Tuen Mun,Richland Garden Shopping Arcade (non-residential),28/7/2020,"2492, 3265",2
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),28/7/2020,"1512, 1672, 1802, 1884, 2124, 2833, 2849, 2951, 3365",9
Sham Shui Po,Smiling Plaza (non-residential),28/7/2020,"2953, 3038, 3831",3
Tuen Mun,Tai Hing Estate Commercial Complex (non-residential),28/7/2020,"2119, 2939",2
Eastern,Tai On Building (non-residential),28/7/2020,3103,1
Tai Po,Tai Po Complex (non-residential),28/7/2020,"1942, 1999, 2120, 2339, 2991",5
Tai Po,Tai Yuen Shopping Centre (non-residential),28/7/2020,"2090, 2854, 2991, 3390",4
Wong Tai Sin,Temple Mall South (non-residential),28/7/2020,3183,1
Sha Tin,Ten Thousand Buddhas Monastery (non-residential),28/7/2020,2899,1
Sai Kung,The Lane Fairwood (non-residential),28/7/2020,3079,1
Wan Chai,Thomson Centre Cheung Hing Kee Shanghai Pan-fried Buns (non-residential),28/7/2020,"2650, 2867, 2899",3
Yuen Long,Tin Ching Shopping Centre Maxim's MX (non-residential),28/7/2020,3800,1
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),28/7/2020,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 2896, 3031, 3183, 3669",13
Tsuen Wan,Tsuen Wan Plaza (non-residential),28/7/2020,2918,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),28/7/2020,"1311, 1312, 1404, 1444, 1477, 1491, 1507, 1508, 1520, 1538, 1549, 1555, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1604, 1622, 1637, 1643, 1667, 1669, 1680, 1683, 1698, 1702, 1703, 1705, 1709, 1719, 1720, 1744, 1757, 1761, 1773, 1775, 1779, 1786, 1819, 1845, 1862, 1896, 1902, 1944, 1956, 1959, 1963, 2006, 2121, 2122, 2123, 2130, 2187, 2237, 2259, 2273, 2285, 2298, 2321, 2349, 2380, 2428, 2738, 2903, 2994, 3002",72
Tai Po,Uptown Plaza Café de Coral (non-residential),28/7/2020,2976,1
Wong Tai Sin,Wah Kay House (non-residential),28/7/2020,"1720, 2380, 3002",3
North,"Wah Min House, Wah Sum Estate (non-residential)",28/7/2020,3003,1
Sha Tin,Wo Che Plaza Gusto (non-residential),28/7/2020,3418,1
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),28/7/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254",9
Tuen Mun,YKK Building (Phase II & III) (non-residential),28/7/2020,2956,1
Yuen Long,Yoho Mall II Oliver's Super Sandwiches (non-residential),28/7/2020,3079,1
Eastern,Yue Wan Market (non-residential),28/7/2020,3034,1
Tai Po,Zone B Tai Po Mega Mall (non-residential),28/7/2020,2991,1
Yuen Long,12 Yuen Ching Road (non-residential),29/7/2020,3318,1
Sham Shui Po,"21 Glee Path, Stage II, Mei Foo Sun Chuen Mimikai Café (non-residential)",29/7/2020,3269,1
Kowloon City,388-390 Prince Edward Road West (non-residential),29/7/2020,3126,1
Wan Chai,54-58 Jardine's Bazaar Glee Café (non-residential),29/7/2020,3333,1
Sham Shui Po,"64, 66, 68 & 70 Broadway, Stage III, Mei Foo Sun Chuen (non-residential)",29/7/2020,3269,1
Yau Tsim Mong,Argyle Centre (non-residential),29/7/2020,"2949, 3052",2
Yau Tsim Mong,Argyle Centre Phase 1 Café de Coral (non-residential),29/7/2020,3144,1
Yau Tsim Mong,Argyle Centre Phase I (non-residential),29/7/2020,"2568, 2949, 3052, 3801",4
Yau Tsim Mong,Bank Centre Mall (non-residential),29/7/2020,3052,1
Kowloon City,Billionnaire Royale (non-residential),29/7/2020,3517,1
Central & Western,Centre Street Market (non-residential),29/7/2020,3432,1
Kwai Tsing,Cheung Hong Estate Kam Wo Court Café (non-residential),29/7/2020,3024,1
Sham Shui Po,Cheung Sha Wan Plaza Hover City Chiu Chow Restaurant (non-residential),29/7/2020,2990,1
Kowloon City,Ching Long Shopping Centre (non-residential),29/7/2020,"1695, 2109, 2164, 2448, 3140, 3385",6
Kwun Tong,Choi Tak Shopping Centre 龍順軒海鮮酒家 (non-residential),29/7/2020,3497,1
Yau Tsim Mong,Concord Building Yoshinoya (non-residential),29/7/2020,3093,1
Eastern,East Hong Kong (non-residential),29/7/2020,3026,1
Sham Shui Po,Fast Industrial Building Swiss Café (non-residential),29/7/2020,3121,1
Yau Tsim Mong,Fire Services Department Mongkok Office Building (non-residential),29/7/2020,3515,1
Central & Western,Fook Sing Shopping Arcade (non-residential),29/7/2020,3137,1
Tsuen Wan,Fortune Mansion (non-residential),29/7/2020,"3018, 3353",2
Central & Western,Fu Lok Building (non-residential),29/7/2020,3212,1
Southern,Gleneagles Hong Kong Hospital (non-residential),29/7/2020,"2980, 3343",2
Kowloon City,Grand Waterfront Plaza (non-residential),29/7/2020,"2333, 3119",2
Tuen Mun,H.A.N.D.S Shopping Centre Do Shing Restaurant (non-residential),29/7/2020,3109,1
Yau Tsim Mong,Hanford Commercial Centre (non-residential),29/7/2020,3216,1
Yau Tsim Mong,Harbour City (non-residential),29/7/2020,"2538, 2790, 3052, 3346, 3492",5
Yau Tsim Mong,Harbour City Amelia (non-residential),29/7/2020,2990,1
